메인재료	부재료 1	부재료 2	부재료 3	조리방식	재료 수량	음식 수량	대사 ( 한국어 )	대사 ( 영어 )	다시 물어보기 1 ( 한국어 )	다시 물어보기 1 ( 영어 )	다시 물어보기 2 ( 한국어 )	다시 물어보기 2 ( 영어 )
면	돈	없음	없음	없음	6	1	"긴 행복을 돈으로 살 수 없다면 혹시 돈이 모자란건 아닌지 확인해 보면 어떨까요?"	"If you can't buy happiness with money, why don't you check if you don't have enough money?"	"파스타에 돈을 넣는 것은 행복을 얻는 방법 중 하나야."	"Putting money in a pasta is one of the ways to get happiness."	"맞아. 돈과 파스타."	"That's right. Money and pasta."
면	돈	없음	없음	없음	6	1	"저희 할머니는 파스타를 좋아해요."	"My grandmother loves pasta."	"저희 할아버지는 파스타를 싫어하세요."	"My grandfather hates pasta."	"돈을 영어로 하면?"	"How do you say money in English?"
면	돈	없음	없음	없음	6	1	"제 파스타를 특별하게 만들어줄 멋진 캐시가..."	"I have a nice cash that will make my pasta special..."	"돈이 있다면 내 파스타는 특별해!"	"My pasta is special if I have money!"	"파스타에 돈을 넣으면 특별해."	"It's special if you put money in the pasta."
면	돈	없음	없음	없음	6	1	"종이 비슷한 파스타 하나 주세요."	"I'd like a paper-like pasta."	"기억은 않나지만 종이는 아니지만, 종이 비슷한거 넣어줘."	"I don't remember, but it's not paper, but please put something like paper."	"맞아, 돈을 넣은 파스타하나 만들어줘"	"Right, please make me a pasta with money
면	돈	없음	없음	없음	6	1	"기다란 돈은 항상 옳다!"	"Long money is always right!"	"길면 다 좋아요. 음식도.재료도..."	"Anything is good if it's long. Food. Ingredients..."	"긴 파스타와 돈의 조화는 아름답죠."	"The combination of long pasta and money is beautiful."
면	보석	없음	없음	없음	6	1	"여기서 제일 비싼 파스타 하나 주세요."	"I'd like the most expensive pasta here."	"돈 보다 더 비싼것이 있다면 파스타에 넣어줘."	"If there's anything more expensive than money, put it in the pasta."	"맞아, 보석을 넣은 파스타 하나 만들어주세요."	"Yes, please make me a pasta with jewels."
면	보석	없음	없음	없음	6	1	"주얼리한 파스타 주세요."	"Give me a piece of jewelry pasta."	"귀금속 파스타 주세요."	"Precious metal pasta, please."	"네, 보석 그리고 파스타"	"Yes, jewelry and pasta"
면	보석	없음	없음	없음	6	1	"파스타 위에 보석을 토핑으로 올리는 거 좀 이상한가요?"	"Is it a little strange to put jewelry on top of pasta as a topping?"	"파스타 위에 보석을 올려 먹으면 맛이 이상해요."	"It tastes weird when you eat jewelry on top of pasta."	"이상하죠. 파스타와 보석의 조합."	"Strange. The combination of pasta and jewelry."
면	보석	없음	없음	없음	6	1	"보석을 고기에 넣어 먹어도 봤고, 파스타에도… 올려 먹으면?"	"I've seen jewelry in meat, and pasta... What if you put it on top of it	"파스타에 보석을 올려 먹으면 무슨 맛일지 궁금해요."	"I wonder what it'll taste like if you put jewels on the pasta."	"네, 이번에는 파스타 위에 보석을 올려주세요."	"Yes, this time please put the jewels on the pasta."
면	보석	없음	없음	없음	6	1	"보석 파스타를 파신다고요? 보석 캔디는 들어봤는데.."	"You sell jewelry pasta? I've heard of jewelry candy.."	"어릴적 추억을 비슷하게라도 느끼고 싶어요."	"I want to feel similar childhood memories."	"네, 맞아요. 보석을 넣은 파스타를 먹는다면, 그 추억을 느낄 수 있지 않을까요?"	"Yes, that's right. If you eat pasta with jewels, wouldn't you feel that memory?"
면	털 뭉치	없음	없음	없음	6	1	"저는 긴 털 많이 달린 생물이 좋아요."	"I like creatures with long hair."	"저는 길고 가느다란 털이 많이 달린 생물이 좋아요."	"I like creatures with long, thin hair."	"저는 면처럼 길고 가느다란 털이 많이 달린 생물이 좋아요."	"I like creatures with long, thin hair like cotton."
면	털 뭉치	없음	없음	없음	6	1	"긴 털이 뭉치면 긴 털뭉치"	"When long hair clumps up, long hair clumps"	"길고 가느다란 털이 뭉치면 면처럼 보이죠."	"Long, thin hairs look like cotton when lumped together."	"네, 그렇게 해주세요. 면처럼 긴 털 뭉치처럼요."	"Yes, please do. Like a wad of cotton long hair."
면	털 뭉치	없음	없음	없음	6	1	"어제 티비에서 봤던 복슬복슬한 면..."	"The fluffy side that I saw on TV yesterday..."	"티비로 봤는데 아직도 생생해요. 복슬복슬한게 엄청 부드러워 보였어요."	"I watched it on TV and it's still vivid. The fluffy one looked so soft."	"하지만 저희는 그것을 '모피 파스타'라고 부르기로 했어요."	"But we decided to call it 'fur pasta'."
면	털 뭉치	없음	없음	없음	6	1	"저기 저 긴 털이 맛있을 것 같아요."	"That long hair over there looks delicious."	"저기 저 싱싱해 보이는 길고 가느다란 털이 맛있을 것 같아요."	"That long, thin fur that looks fresh over there looks delicious."	"저기 저 털 파스타가 맛있을 것 같아요."	"I think long and thin pasta like that noodle over there will be delicious."
면	털 뭉치	없음	없음	없음	6	1	"그냥 털 파스타 하나 주세요."	"Just one fur pasta, please."	"네, 털 파스타 하나 맞아요."	"Yes, one fur pasta is correct."	"네, 그거요. 털 파스타 하나 맞아요.	"Yes, that one. One fur pasta is right.
면	눈알	없음	없음	없음	6	1	"저기 저 옆 행성 파스타 집 사장님 너무 멋있지 않아요? 눈이 멋있는 것 같아요."	"Isn't the owner of the pasta restaurant on the next planet so cool?" I think your eyes are nice."	"파스타 집 사장님의 눈은 다시 봐도 멋있는 것 같아요."	"I think the eyes of the pasta restaurant owner are cool even if I look at it again."	"멋있긴 하죠. 하지만 파스타와 같이 먹으면 별미죠..."	"It's cool. But it's a delicacy with pasta..."
면	눈알	없음	없음	없음	6	1	"눈알 먹어보셨나요? 저는 기다란 눈이 맛있더라구요."	"Have you tried eyeballs? I liked the long eye."	"긴 눈알 먹어보셨나요? 이게 또 별미예요."	"Have you tried long-eyed eggs? This is also a delicacy."	"네, 맞아요. 파스타 그리고 눈알"	"Yes, that's right. Pasta and eyeballs
면	눈알	없음	없음	없음	6	1	"저기 저 눈알이 맛있을 것 같은데, 눈알 파스타 하나 주세요."	"That eyeball looks delicious, I'd like one eyeball pasta."	"먹어보시는 것을 추천할게요. 그러니까 눈알 파스타 하나 주세요."	"I recommend you try it. So please give me an eyeball pasta."	"네, 눈알과 파스타 이렇게 주세요."	"Yes, I'd like some eyeballs and pasta."
면	눈알	없음	없음	없음	6	1	"ㄴㅇ ㅍㅅㅌ ㅎㄴㅇ"	"E.P.O"	"ㄴㅇ 파스타 하나요."	"E.Pasta.One"	"눈알 파스타 하나요."	"Eyeballs.Pasta.One"
면	눈알	없음	없음	없음	6	1	"저희 아이가 먹을 파스타 하나 주세요."	"I'd like a pasta for my child."	"사람의 눈을 영어로 하면 뭘까요?"	"What's human eyes in English?"	"그러니까 아이가 먹을 파스타 하나 주세요."	"So give me a pasta for the child to eat."
면	비스무트	없음	없음	없음	6	1	"위장 장애를 치료할 수 있는 파스타 주세요."	"I'd like pasta to treat gastrointestinal disorders."	"한국어로 '창연'이라 부르기도 하는데 먹으면 위장장애를 치료할 수 있데요."	"It is sometimes called 'Changyeon' in Korean, but eating it can cure gastrointestinal disorders."	"네, 맞아요. 외계에서 온 광물이라 불리는 비스무트를 파스타에 넣어 주세요."	"Yes, that's right. Put a bismuth called a mineral from outer space in the pasta."
면	비스무트	없음	없음	없음	6	1	"녹은 파스타 주세요."	"Please give me melted pasta."	"녹는점이 271.4 °C인 파스타 주세요."	"Please give me pasta with a melting point of 271.4 °C."	"네, 비스무트에 파스타를 올려 주세요."	"Yes, put pasta on the bismuth."
면	비스무트	없음	없음	없음	6	1	"끓는점을 1,564°C까지 올린 파스타 하나 주세요."	"I'd like a pasta with a bradioactive oiling point up to 1,564°C."	"비스무트를 1,564°C까지 올린 파스타 하나 주세요."	"I'd like a pasta with bismuth up to 1,564°C."	"맞아요. 비스무트와 파스타 이렇게 주세요."	"That's right. Bismuth and pasta, please."
면	비스무트	없음	없음	없음	6	1	"83번째 파스타 하나 주세요."	"One 83rd pasta, please."	"비스무트는 원자번호가 83번이예요."	"Bismuth has an atomic number of 83."	"비스무트를 넣은 파스타 하나요."	"One pasta with bismuth, please."
면	비스무트	없음	없음	없음	6	1	"독성이 없는 금속 파스타 주세요."	"I'd like non-toxic metal pasta."	"다른말로는 '안전한 중금속'이라고 부르기도 해요."	"In other words, it's called 'safe heavy metals'."	"맞아요. 비스무트를 넣은 파스타 하나주세요."	"That's right. I'd like a pasta with bismuth."
면	건전지	없음	없음	없음	6	1	"저의 긴 인생을 짜릿하게 해줄 음식을 만들어 주세요."	"Please make me food that will thrill my long life."	"저의 면처럼 긴 인생을 짜릿하게 해줄 음식을 만들어 주세요."	"Please make me food that will thrill my long life like my noodles."	"저의 면처럼 긴 인생을 건전지처럼 짜릿하게 해줄 음식을 만들어 주세요. "	"Please make food that will make my long life as thrilling as a battery like my noodles. "
면	건전지	없음	없음	없음	6	1	"저희 집의 전선이 끊어졌는데 길고 이을만한게 없을까요..?"	"The wires in my house have been cut off, so is there anything long that can be connected?"	"면처럼 긴 전지로 이으면 좋을 것 같긴 한데..."	"I think it'd be good to connect it with a long battery like cotton..."	"그럼 좋죠, 건전지와 파스타 주세요."	"That would be great, I'd like batteries and pasta."
면	건전지	없음	없음	없음	6	1	"긴 에너지를 채울 수 있다면 얼마나 좋을까요?"	"How good would it be if I could fill up a long energy?"	"면처럼 긴 에너지를 채울 수 있다면 좋을 것 같아요."	"I think you can fill a long energy like the noodles."	"네, 면과 건전지요."	"Yes, cotton and batteries."
면	건전지	없음	없음	없음	6	1	"AA 파스타 주세요"	"AA pasta, please"	"AA 전지 파스타 주세요."	"AA battery pasta, please."	"그거 맞아요. 건전지 파스타 주시면 돼요."	"That's right. Give me the battery pasta."
면	건전지	없음	없음	없음	6	1	"건전지 파스타... 제 눈으로 확인해 봐야겠어요."	"Battery pasta... I must check with my own eyes."	"확인해 보게 건전지 파스타 하나 주세요."	"Please give me a battery pasta so I can check."	"맞아요. 건전지와 파스타 주시면 돼요."	"That's right. You can give me batteries and pasta."
면	외계 식물	없음	없음	없음	6	1	"옆 행성에서 자라는 식물을 넣은 파스타 하나 주세요."	"I'd like a pasta with plants growing on the next planet."	"좋아요. 하지만 꼭 옆 행성에서 자라는 식물로 파스타에 넣어 주세요."	"Okay, but make sure you put it in your pasta with plants that grow on the next planet."	"네, 외계 식물을 넣은 파스타 하나 주세요."	"Yes, I'd like a pasta with alien plants."
면	외계 식물	없음	없음	없음	6	1	"제가 고기를 먹지 않지만, 고기 맛 식물은 없나요? 긴 걸로요."	"I don't eat meat, but do you have any meat-flavored plants? A long one."	"있다면 면처럼 긴 고기 맛 식물로 주세요."	"If you have, I'd like a long meat-flavored plant like cotton."	"네, 그거 맞아요. 외계식물 그리고 파스타"	"Yes, that's right. "An alien plant and pasta"
면	외계 식물	없음	없음	없음	6	1	"비건 파스타 하나 주세요."	"One vegan pasta, please."	"네, 야채 파스타 하나 주세요."	"Yes, one vegetable pasta, please."	"외계 식물 파스타 하나 주세요."	"I'd like an alien plant pasta."
면	외계 식물	없음	없음	없음	6	1	"파스타 위에 풀만 올리는 건 좀 이상한가요?"	"Is it weird to just put grass on the pasta?"	"이상하면 어때요? 제 입에 들어가는건데요."	"What if it's weird? It's in my mouth."	"그러니까 외계식물을 넣은 파스타 주세요."	"So please give me pasta with alien plants."
면	외계 식물	없음	없음	없음	6	1	"풀을 고기에 넣어 먹어도 봤고, 파스타에도… 올려 먹으면?"	"I've seen grass in meat, and pasta... What if you put it on top of it"	"너무 궁금해요. 파스타에 풀을 올려 먹으면 무슨 맛일지..."	"I'm so curious. I don't know how it would taste if you put glue on pasta..."	"파스타와 외계식물 조합을 느끼고 싶어요."	"I want to feel the combination of pasta and alien plants."
밥	스티커	없음	없음	없음	6	1	"와이파이 있으신가요? 잠시 빌려써도 될까요? 스티커 밥 하나 주문할게요."	"Do you have Wi-Fi? Can I borrow it for a while? I'd like to order a sticky rice."	"스티커 밥 하나 주문할 테니, 조금이라도 안 될까요?"	"I'll order a sticker rice, so can I have a little?"	"잠시만이면 돼요! 스티커 밥 하나 주문할게요."	"Just a moment! I'd like to order a sticky rice."
밥	스티커	없음	없음	없음	6	1	"덮밥 하나요. 접착력이 강하게요."	"One bowl of rice, please. It's very strong."	"얇고 접착력이 강한 덮밥 하나요."	“One bowl of rice that is thin and has strong adhesion.”	"스티커를 넣은 덮밥 하나요."	"One rice bowl with stickers, please."
밥	스티커	없음	없음	없음	6	1	"밥과 스티커가 같이 있으면 맛이 이상해요. 하지만 중독되는 맛이에요."	"It tastes weird with rice and stickers. But it's an addictive taste."	"중독되는 그 맛.. 스티커를 넣은 밥 이상하죠."	"The taste that makes you addicted... Rice with stickers is weird."	"스티커를 넣은 밥은 저의 최애 음식입니다."	"Rice with stickers is my favorite food."
밥	스티커	없음	없음	없음	6	1	"접착제처럼 찐득한 밥 하나 주세요."	"Give me a sticky rice like glue."	"얇고 찐득한 종이와 밥"	"Thin and sticky paper and rice"	"스티커처럼 찐득하고, 가느다란 밥"	"A sticky, thin rice like a sticker, like a sticker"
밥	스티커	없음	없음	없음	6	1	"요나하 밥 커티스"	"Eno Ecir Rekcits"	"요나하 밥 스티커"	"Eno Rice Sticker"	"하나요 밥 스티커"	"One Rice Sticker"
밥	방부제	없음	없음	없음	6	1	"썩지 않는 덮밥 하나요."	"One bowl of rice that doesn't rot."	"썩지 않게만 해준다면 덮밥을 오래 먹을 수 있어요!"	"If you can't fall down, you can eat a long time!"	"방부제를 넣어 덮밥을 오래 먹을 수 있게 해주세요."	"Please add preservatives so that I can eat the rice bowl for a long time."
밥	방부제	없음	없음	없음	6	1	"고대 이집트에선 왕족과 귀족들의 밥을 방부제로 관리 하시던 거 아시나요...."	"Did you know that in ancient Egypt, the meals of royalty and aristocrats were managed as preservatives..."	"제 음식도 왕족과 귀족처럼 관리해주세요."	"Please manage my food like royalty and aristocracy."	"제 밥도 방부제를 넣어 관리해주세요."	"Please take care of my rice with preservatives."
밥	방부제	없음	없음	없음	6	1	"포르말린 덮밥을 드셔보셨나요? 정말 맛있어요!"	"Have you ever had a bowl of formalin rice?" It's really good!"	"포르말린 덮밥을 드셔보셨나요? 오래 먹을 수 있어요!"	"Have you ever had a bowl of formalin rice? You can eat it for a long time!"	"방부제 덮밥을 드셔보셨나요? 정말 맛있어요!"	"Have you tried rice topped with preservatives? It's really good!"
밥	방부제	없음	없음	없음	6	1	"오래 먹을 수 있는 덮밥 주세요."	"Give me a long-lasting bowl of rice."	"썩지 않는 밥 주세요."	"Give me rice that doesn't rot."	"방부제를 넣은 밥 주세요."	"Please give me rice with preservatives."
밥	방부제	없음	없음	없음	6	1	"그냥 방부제 밥 주세요."	"Just give me a preservative meal."	"작은 여러 알갱이가 들어간 방부제 밥 주세요."	"Please give me a preservative meal with several small grains."	"오래 먹을 수 있게 방부제를 넣은 밥 주세요."	"Please give me rice with preservatives so that I can eat it for a long time."
밥	똥	없음	없음	없음	6	1	"낱개에 여러 개로 웃는 똥에 대해 들어보셨나요? 히히..."	"Have you heard of poop that laughs in multiple pieces in a single dog? "Hehe..."	"어제 화장실에서 봤던 낱개로 여러개 있는 똥 하나 주세요."	"I'd like to have a poop with several individuals that I saw in the bathroom yesterday."	"밥처럼 여러 알갱이로 흩어져 있는 똥 하나 주세요."	"Give me a poop scattered in many grains like rice."
밥	똥	없음	없음	없음	6	1	"땡큐 베리 풉…밥"	"Thank you very poop…rice"	"밥을 만들어 주신다면 땡큐 베리 풉.."	"If you make rice, thank you very pub.."	"똥을 넣은 밥을 만들어 주시면 너무 감사하죠"	"I'd appreciate it if you made rice with poop."
밥	똥	없음	없음	없음	6	1	"어제 화장실에 봤던 낱개에 여러개로 뭉쳐있는거 주세요."	"Give me the one that I saw in the bathroom yesterday that is lumped together."	"아직도 생생해요. 낱개로 여러개 뭉쳐있는 똥이였어요."	"It's still vivid. It was a poop that was lumped together individually."	"밥처럼 여러 알갱이로 흩어진 똥이었어요."	"It was a poop scattered into many grains like rice."
밥	똥	없음	없음	없음	6	2	"똥 밥 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled dung rice and ran fast across two planets."	"밥처럼 여러 알갱이로 이루어진 똥 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled poop made of grains like rice and ran quickly across two planets."	"맞아요. 똥을 넣은 밥 2개 주세요."	"That's right. Give me two rice with poop."
밥	똥	없음	없음	없음	6	2	"똥똥 밥"	"PoopPoop rice."	"더블 똥 밥"	"Double poop rice"	"똥 덮밥 2개"	"Two bowls of rice with poop"
밥	종이	없음	없음	없음	6	1	"페이퍼 밥이 들어간 음식은 몇 달러 페이퍼?"	"How many dollars is the food with rice in it?"	"종이가 들어간 밥은 얼마일까요?"	"How much is the rice with paper in it?"	"저렴한 종이 밥 하나 주세요."	"A cheap piece of paper rice, please."
밥	종이	없음	없음	없음	6	1	"파피루스 밥 하나요."	"One papyrus rice, please."	"고대 이집트에서 파피루스의 줄기로 만든 그 종이를 넣은 밥 하나 주세요."	"I'd like a rice with that paper made from the stems of papyrus in ancient Egypt."	"네, 종이면 좋으니 밥에 넣어주세요."	"Yes, paper would be good, so please put it in the rice."
밥	종이	없음	없음	없음	6	1	"요나하 밥 이종"	"Eno Ecir Repap"	"요나하 밥 종이"	"Eno Rice Paper"	"하나요 밥 종이"	"One.Rice.Paper"
밥	종이	없음	없음	없음	6	1	"종이 덮밥.. 제 눈으로 확인해 봐야겠어요"	"Paper rice... I'll have to check with my own eyes."	"신기하죠. 종이 덮밥이라는 음식이 실제로 있는 줄 몰랐어요."	"It's amazing. I didn't know there was a food called paper rice."	"네, 종이 그리고 덮밥. 주세요."	"Yes, paper and a bowl of rice. Please."
밥	종이	없음	없음	없음	6	1	"종이를 빵에 넣어 먹어도 봤고, 밥에 넣어 먹으면?"	"I've seen you put paper in bread. What if you put it in rice?"	"빵은 제 입맛이 아니였어요. 밥에 넣어 먹으면 어떤 맛이 느껴질지 궁금해요."	"Bread was not my cup of tea. I wonder how it will taste if you put it in rice."	"제 밥은 종이 제외하고 다 빼주세요."	"Please take out all my rice except paper."
밥	너트	없음	없음	없음	6	1	"너트와 돈을 넣은 덮밥이요. 아, 돈은 빼주세요."	"A bowl of nuts and money. Oh, take out the money."	"너트는 먹을 수 있지만 돈은 도저히 못 먹겠어요."	"I can eat nuts, but I can't afford it."	"네, 너트를 넣은 덮밥 주세요."	"Yes, please cover the rice with you put you."
밥	너트	없음	없음	없음	6	1	"ㅇㄴㅅ ㅂ ㅎㄴㅇ"	"N.R.O"	"ㅇㄴㅅ 밥 하나요."	"N.Rice.One"	"암나사 밥 하나요."	"Nut.Rice.One"
밥	너트	없음	없음	없음	6	1	"암나사 덮밥 하나요"	"I'll have a female screw rice bowl"	"너트 덮밥 하나요."	"A bowl of rice served with nut, please"	"네, 너트 그리고 덮밥. 주세요."	"Yes, nuts and rice bowls. Please."
밥	너트	없음	없음	없음	6	2	"여러 알갱이로 뭉쳐진 쇠 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled iron in several grains and ran fast across two planets."	"고철을 넣은 밥 냄새를 맡고 두 개의 행성을 빠르게 달려왔어요."	"I smelled rice with scrap metal and ran fast across two planets."	"맞아요. 너트를 넣은 밥 2개 주세요."	"That's right. Give me two rice with nuts."
밥	너트	없음	없음	없음	6	1	"저기 저 너트 덮밥이 맛있을 것 같아요."	"That nutty rice over there looks delicious."	"맛있죠, 너트를 넣은 덮밥."	"It's delicious, a rice bowl with nuts."	"맞아요. 너트 그리고 덮밥."	"That's right. Nut and rice."
밥	돈	없음	없음	없음	6	1	"작은 여러 행복을 돈으로 살 수 없다면 혹시 돈이 모자란 건 아닌지 확인해 봐."	"If you can't buy a lot of small happiness with money, check if you don't have enough money."	"밥에 돈을 넣는 것은 행복을 얻는 방법 중 하나야."	"Putting money in rice is one of the ways to get happiness."	"맞아. 돈과 밥."	"That's right. Money and rice."
